HCPCS,MOD,DESCRIPTION,STATUS
A9291,,Pres dig cog behav thera fda,X
A9292,,Pres dig visual therapy fda,X
A9300,,Exercise equipment,N
A9500,,Tc99m sestamibi,C
A9501,,Technetium tc-99m teboroxime,C
A9502,,Tc99m tetrofosmin,C
A9503,,Tc99m medronate,C
A9504,,Tc99m apcitide,C
A9505,,Tl201 thallium,C
A9507,,In111 capromab,C
A9508,,"I131 iodobenguate, dx",C
A9509,,Iodine i-123 sod iodide mil,C
A9510,,Tc99m disofenin,C
A9512,,Tc99m pertechnetate,C
A9513,,Lutetium lu 177 dotatat ther,X
A9515,,Choline c-11,X
A9516,,Iodine i-123 sod iodide mic,C
A9517,,"I131 iodide cap, rx",C
A9520,,Tc99 tilmanocept diag 0.5mci,X
A9521,,Tc99m exametazime,C
A9524,,"I131 serum albumin, dx",C
A9526,,Nitrogen n-13 ammonia,C
A9527,,Iodine i-125 sodium iodide,C
A9528,,"Iodine i-131 iodide cap, dx",C
A9529,,"I131 iodide sol, dx",C
A9530,,"I131 iodide sol, rx",C
A9531,,I131 max 100uci,C
A9532,,"I125 serum albumin, dx",C
A9536,,Tc99m depreotide,C
A9537,,Tc99m mebrofenin,C
A9538,,Tc99m pyrophosphate,C
A9539,,Tc99m pentetate,C
A9540,,Tc99m maa,C
A9541,,Tc99m sulfur colloid,C
A9542,,"In111 ibritumomab, dx",C
A9543,,"Y90 ibritumomab, rx",C
A9546,,Co57/58,C
A9547,,In111 oxyquinoline,C
A9548,,In111 pentetate,C
A9550,,Tc99m gluceptate,C
A9551,,Tc99m succimer,C
A9552,,F18 fdg,C
A9553,,Cr51 chromate,C
A9554,,"I125 iothalamate, dx",C
A9555,,Rb82 rubidium,C
A9556,,Ga67 gallium,C
A9557,,Tc99m bicisate,C
A9558,,Xe133 xenon 10mci,C
A9559,,Co57 cyano,C
A9560,,Tc99m labeled rbc,C
A9561,,Tc99m oxidronate,C
A9562,,Tc99m mertiatide,C
A9563,,P32 na phosphate,C
A9564,,P32 chromic phosphate,C
A9566,,Tc99m fanolesomab,C
A9567,,Technetium tc-99m aerosol,C
A9568,,Technetium tc99m arcitumomab,C
A9569,,Technetium tc-99m auto wbc,C
A9570,,Indium in-111 auto wbc,C
A9571,,Indium in-111 auto platelet,C
A9572,,Indium in-111 pentetreotide,C
A9573,,"Inj, gadopiclenol, 1 ml",X
A9575,,Inj gadoterate meglumi 0.1ml,X
A9576,,Inj prohance multipack,X
A9577,,Inj multihance,X
A9578,,Inj multihance multipack,X
A9579,,"Gad-base mr contrast nos,1ml",X
A9580,,Sodium fluoride f-18,C
A9581,,Gadoxetate disodium inj,X
A9582,,Iodine i-123 iobenguane,X
A9583,,Gadofosveset trisodium inj,X
A9584,,Iodine i-123 ioflupane,X
A9585,,Gadobutrol injection,X
A9586,,Florbetapir f18,C
A9587,,Gallium ga-68,X
A9588,,Fluciclovine f-18,X
A9589,,Insti hexaminolevulinate hcl,X
A9590,,Iodine i-131 iobenguane 1mci,X
A9591,,Fluoroestradiol f 18,X
A9592,,Copper cu 64 dotatate diag,X
A9593,,Gallium ga-68 psma-11 ucsf,X
A9594,,"Gallium ga-68 psma-11, ucla",X
A9595,,"Piflu f-18, dia 1 millicurie",X
A9596,,Gallium illuccix 1 millicure,X
A9597,,"Pet, dx, for tumor id, noc",X
A9598,,"Pet dx for non-tumor id, noc",X
A9600,,Sr89 strontium,C
A9601,,Flortaucipir inj 1 millicuri,X
A9602,,Fluorodopa f-18 diag per mci,X
A9603,,"Inj, pafolacianine, 0.1 mg",X
A9604,,Sm 153 lexidronam,X
A9606,,Radium ra223 dichloride ther,X
A9607,,Lutetium lu 177 vipivotide,X
A9608,,Flotufolastat f18 diag 1 mci,X
A9609,,"F18 fdg, 15 millicuries",X
A9697,,"Inj, magtrace per study dose",X
A9698,,Non-rad contrast materialnoc,X
A9699,,Radiopharm rx agent noc,C
A9700,,Echocardiography contrast,E
A9800,,Gallium locametz 1 millicuri,X
A9900,,Supply/accessory/service,X
A9901,,Delivery/set up/dispensing,X
A9999,,"Dme supply or accessory, nos",X
D0120,,Periodic oral evaluation,R
D0140,,Limit oral eval problm focus,R
D0145,,"Oral evaluation, pt < 3yrs",R
D0150,,Comprehensve oral evaluation,R
D0160,,Extensv oral eval prob focus,R
D0170,,"Re-eval,est pt,problem focus",R
D0171,,Re-eval post-op visit,R
D0180,,Comp periodontal evaluation,R
D0190,,Screening of a patient,R
D0191,,Assessment of a patient,R
D0210,,Intraor comprehensive series,R
D0210,TC,Intraor comprehensive series,R
D0210,26,Intraor comprehensive series,R
D0220,,Intraoral periapical first,R
D0220,TC,Intraoral periapical first,R
D0220,26,Intraoral periapical first,R
D0230,,Intraoral periapical ea add,R
D0230,TC,Intraoral periapical ea add,R
D0230,26,Intraoral periapical ea add,R
D0240,,Intraoral occlusal film,R
D0240,TC,Intraoral occlusal film,R
D0240,26,Intraoral occlusal film,R
D0250,,Extraoral 2d project image,R
D0250,TC,Extraoral 2d project image,R
D0250,26,Extraoral 2d project image,R
D0251,,Extraoral posterior image,R
D0251,TC,Extraoral posterior image,R
D0251,26,Extraoral posterior image,R
D0270,,Dental bitewing single image,R
D0270,TC,Dental bitewing single image,R
D0270,26,Dental bitewing single image,R
D0272,,Dental bitewings two images,R
D0272,TC,Dental bitewings two images,R
D0272,26,Dental bitewings two images,R
D0273,,Bitewings - three images,R
D0273,TC,Bitewings - three images,R
D0273,26,Bitewings - three images,R
D0274,,Bitewings four images,R
D0274,TC,Bitewings four images,R
D0274,26,Bitewings four images,R
D0277,,Vert bitewings 7 to 8 images,R
D0277,TC,Vert bitewings 7 to 8 images,R
D0277,26,Vert bitewings 7 to 8 images,R
D0310,,Dental saliography,R
D0310,TC,Dental saliography,R
D0310,26,Dental saliography,R
D0320,,Dental tmj arthrogram incl i,R
D0320,TC,Dental tmj arthrogram incl i,R
D0320,26,Dental tmj arthrogram incl i,R
D0321,,Other tmj images by report,R
D0321,TC,Other tmj images by report,R
D0321,26,Other tmj images by report,R
D0322,,Dental tomographic survey,R
D0322,TC,Dental tomographic survey,R
D0322,26,Dental tomographic survey,R
D0330,,Panoramic image,R
D0330,TC,Panoramic image,R
D0330,26,Panoramic image,R
D0340,,2d cephalometric image,R
D0340,TC,2d cephalometric image,R
D0340,26,2d cephalometric image,R
D0350,,Oral/facial photo images,R
D0350,TC,Oral/facial photo images,R
D0350,26,Oral/facial photo images,R
D0364,,Cone beam ct capt & interp,R
D0364,TC,Cone beam ct capt & interp,R
D0364,26,Cone beam ct capt & interp,R
D0365,,Cone beam ct interprete man,R
D0365,TC,Cone beam ct interprete man,R
D0365,26,Cone beam ct interprete man,R
D0366,,Cone beam ct interprete max,R
D0366,TC,Cone beam ct interprete max,R
D0366,26,Cone beam ct interprete max,R
D0367,,Cone beam ct interp both jaw,R
D0367,TC,Cone beam ct interp both jaw,R
D0367,26,Cone beam ct interp both jaw,R
D0368,,Cone beam ct interprete tmj,R
D0368,TC,Cone beam ct interprete tmj,R
D0368,26,Cone beam ct interprete tmj,R
D0369,,Max mri capture & interprete,R
D0369,TC,Max mri capture & interprete,R
D0369,26,Max mri capture & interprete,R
D0370,,Max ultrasound capt & interp,R
D0370,TC,Max ultrasound capt & interp,R
D0370,26,Max ultrasound capt & interp,R
D0371,,Sialoendoscopy capt & interp,R
D0371,TC,Sialoendoscopy capt & interp,R
D0371,26,Sialoendoscopy capt & interp,R
D0372,,Tomo comp series images,R
D0372,TC,Tomo comp series images,R
D0372,26,Tomo comp series images,R
D0373,,Tomo bitewing image,R
D0373,TC,Tomo bitewing image,R
D0373,26,Tomo bitewing image,R
D0374,,Tomo periapical image,R
D0374,TC,Tomo periapical image,R
D0374,26,Tomo periapical image,R
D0380,,Cone beam ct capture limited,R
D0380,TC,Cone beam ct capture limited,R
D0380,26,Cone beam ct capture limited,R
D0381,,Cone beam ct capt mandible,R
D0381,TC,Cone beam ct capt mandible,R
D0381,26,Cone beam ct capt mandible,R
D0382,,Cone beam ct capt maxilla,R
D0382,TC,Cone beam ct capt maxilla,R
D0382,26,Cone beam ct capt maxilla,R
D0383,,Cone beam ct both jaws,R
D0383,TC,Cone beam ct both jaws,R
D0383,26,Cone beam ct both jaws,R
D0384,,Cone beam ct capture tmj,R
D0384,TC,Cone beam ct capture tmj,R
D0384,26,Cone beam ct capture tmj,R
D0385,,Max mri image capture,R
D0385,TC,Max mri image capture,R
D0385,26,Max mri image capture,R
D0386,,Max ultrasound image capture,R
D0386,TC,Max ultrasound image capture,R
D0386,26,Max ultrasound image capture,R
D0387,,Comp image capture only,R
D0387,TC,Comp image capture only,R
D0387,26,Comp image capture only,R
D0388,,Bitewing image capture only,R
D0388,TC,Bitewing image capture only,R
D0388,26,Bitewing image capture only,R
D0389,,Periopic image capture only,R
D0389,TC,Periopic image capture only,R
D0389,26,Periopic image capture only,R
D0391,,Imterprete diagnostic image,R
D0391,TC,Imterprete diagnostic image,R
D0391,26,Imterprete diagnostic image,R
D0393,,Trtmnt simulation 3d image,R
D0393,TC,Trtmnt simulation 3d image,R
D0393,26,Trtmnt simulation 3d image,R
D0394,,Digital sub 2 or more images,R
D0394,TC,Digital sub 2 or more images,R
D0394,26,Digital sub 2 or more images,R
D0395,,Fusion 2 or more 3d images,R
D0395,TC,Fusion 2 or more 3d images,R
D0395,26,Fusion 2 or more 3d images,R
D0396,,3d print of 3d surface scan,I
D0411,,Hba1c in office testing,R
D0412,,Blood glucose level test,R
D0414,,Lab process microbial spec,R
D0415,,Collection of microorganisms,R
D0416,,Viral culture,R
D0417,,Collect & prep saliva sample,R
D0418,,Analysis of saliva sample,R
D0419,,Assess of salivary flow,R
D0422,,Collect & prep genetic samp,R
D0423,,Genetic test spec analysis,R
D0425,,Caries susceptibility test,R
D0431,,Diag tst detect mucos abnorm,R
D0460,,Pulp vitality test,R
D0470,,Diagnostic casts,R
D0472,,"Gross exam, prep & report",R
D0473,,"Micro exam, prep & report",R
D0474,,Micro w exam of surg margins,R
D0475,,Decalcification procedure,R
D0475,TC,Decalcification procedure,R
D0475,26,Decalcification procedure,R
D0476,,Spec stains for microorganis,R
D0477,,Spec stains not for microorg,R
D0478,,Immunohistochemical stains,R
D0478,TC,Immunohistochemical stains,R
D0478,26,Immunohistochemical stains,R
D0479,,Tissue in-situ hybridization,R
D0480,,Cytopath smear prep & report,R
D0480,TC,Cytopath smear prep & report,R
D0480,26,Cytopath smear prep & report,R
D0481,,Electron microscopy,R
D0481,TC,Electron microscopy,R
D0481,26,Electron microscopy,R
D0482,,Direct immunofluorescence,R
D0483,,Indirect immunofluorescence,R
D0484,,Consult slides prep elsewher,R
D0484,TC,Consult slides prep elsewher,R
D0484,26,Consult slides prep elsewher,R
D0485,,Consult inc prep of slides,R
D0485,TC,Consult inc prep of slides,R
D0485,26,Consult inc prep of slides,R
D0486,,Access of transep cytol samp,R
D0502,,Other oral pathology procedu,R
D0600,,Non-ionizing diag proc,R
D0601,,Caries risk assess low risk,R
D0602,,Caries risk assess mod risk,R
D0603,,Caries risk assess high risk,R
D0604,,Antigen test pub hlth pathog,R
D0605,,Antibody test pub hlth path,R
D0605,TC,Antibody test pub hlth path,R
D0605,26,Antibody test pub hlth path,R
D0606,,Molecular test pub hlth path,R
D0701,,Pano radio image,R
D0701,TC,Pano radio image,R
D0701,26,Pano radio image,R
D0702,,2d cephal radio image,R
D0702,TC,2d cephal radio image,R
D0702,26,2d cephal radio image,R
D0703,,2d oral/facial photo image,R
D0703,TC,2d oral/facial photo image,R
D0703,26,2d oral/facial photo image,R
D0705,,Extra oral post radio image,R
D0705,TC,Extra oral post radio image,R
D0705,26,Extra oral post radio image,R
D0706,,Intraoral occlus radio image,R
D0706,TC,Intraoral occlus radio image,R
D0706,26,Intraoral occlus radio image,R
D0707,,Intraoral periap radio image,R
D0707,TC,Intraoral periap radio image,R
D0707,26,Intraoral periap radio image,R
D0708,,Intraoral bite radio image,R
D0708,TC,Intraoral bite radio image,R
D0708,26,Intraoral bite radio image,R
D0709,,Intraoral comp image capture,R
D0709,TC,Intraoral comp image capture,R
D0709,26,Intraoral comp image capture,R
D0801,,3d dental scan direct,R
D0801,TC,3d dental scan direct,R
D0801,26,3d dental scan direct,R
D0802,,3d dental scan indirect,R
D0802,TC,3d dental scan indirect,R
D0802,26,3d dental scan indirect,R
D0803,,3d facial scan direct,R
D0803,TC,3d facial scan direct,R
D0803,26,3d facial scan direct,R
D0804,,3d facial scan indirect,R
D0804,TC,3d facial scan indirect,R
D0804,26,3d facial scan indirect,R
D0999,,Unspecified diagnostic proce,R
D1110,,Dental prophylaxis adult,R
D1120,,Dental prophylaxis child,R
D1206,,Topical fluoride varnish,R
D1208,,Topical app fluorid ex vrnsh,R
D1301,,Immunization counseling,R
D1310,,Nutri counsel-control caries,R
D1320,,Tobacco counseling,R
D1321,,Couns for high risk sub use,R
D1330,,Oral hygiene instruction,R
D1351,,Dental sealant per tooth,R
D1352,,"Prev resin rest, perm tooth",R
D1353,,Sealant repair per tooth,R
D1354,,Int caries med app per tooth,R
D1355,,Caries med app per tooth,R
D1510,,Space maintainer fxd unilat,R
D1516,,"Fixed bilat space maint, max",R
D1517,,"Fixed bilat space maint, man",R
D1520,,Remove unilat space maintain,R
D1526,,"Remove bilat space main, max",R
D1527,,"Remove bilat space main, man",R
D1551,,Recement space maint - max,R
D1552,,Recement space maint - man,R
D1553,,Recement unilat space maint,R
D1556,,Rem fixed unilat space maint,R
D1557,,Remove fixed bilat maint max,R
D1558,,Remove fixed bilat man,R
D1575,,"Dist space maint, fixed unil",R
D1701,,Pfizer vacc admin 1st dose,I
D1702,,Pfizer vacc admin 2nd dose,I
D1703,,Moderna vacc admin 1st dose,I
D1704,,Moderna vacc admin 2nd dose,I
D1705,,Astrazeneca vacc adm 1st dos,I
D1706,,Astrazeneca vacc adm 2nd dos,I
D1707,,Janssen vaccine admin,I
D1708,,Pfizer vacc admin 3rd dose,I
D1709,,Pfizer vaccine admin booster,I
D1710,,Moderna vacc admin 3rd dose,I
D1711,,Moderna vacc admin booster,I
D1712,,Janssen vacc admin booster,I
D1713,,Pfizer vacc adm ped 1st dose,I
D1714,,Pfizer vacc adm ped 2nd dose,I
D1781,,Vac admin human pap dose 1,I
D1782,,Vac admin human pap dose 2,I
D1783,,Vac admin human pap dose 3,I
D1999,,Unspecified preventive proc,R
D2140,,Amalgam one surface permanen,R
D2150,,Amalgam two surfaces permane,R
D2160,,Amalgam three surfaces perma,R
D2161,,Amalgam 4 or > surfaces perm,R
D2330,,Resin one surface-anterior,R
D2331,,Resin two surfaces-anterior,R
D2332,,Resin three surfaces-anterio,R
D2335,,Resin 4/> surf or w incis an,R
D2390,,Ant resin-based cmpst crown,R
D2391,,Post 1 srfc resinbased cmpst,R
D2392,,Post 2 srfc resinbased cmpst,R
D2393,,Post 3 srfc resinbased cmpst,R
D2394,,Post >=4srfc resinbase cmpst,R
D2410,,Dental gold foil one surface,R
D2420,,Dental gold foil two surface,R
D2430,,Dental gold foil three surfa,R
D2510,,Dental inlay metalic 1 surf,R
D2520,,Dental inlay metallic 2 surf,R
D2530,,Dental inlay metl 3/more sur,R
D2542,,Dental onlay metallic 2 surf,R
D2543,,Dental onlay metallic 3 surf,R
D2544,,Dental onlay metl 4/more sur,R
D2610,,Inlay porcelain/ceramic 1 su,R
D2620,,Inlay porcelain/ceramic 2 su,R
D2630,,Dental onlay porc 3/more sur,R
D2642,,Dental onlay porcelin 2 surf,R
D2643,,Dental onlay porcelin 3 surf,R
D2644,,Dental onlay porc 4/more sur,R
D2650,,Inlay composite/resin one su,R
D2651,,Inlay composite/resin two su,R
D2652,,Dental inlay resin 3/mre sur,R
D2662,,Dental onlay resin 2 surface,R
D2663,,Dental onlay resin 3 surface,R
D2664,,Dental onlay resin 4/mre sur,R
D2710,,Crown resin-based indirect,R
D2712,,Crown 3/4 resin-based compos,R
D2720,,Crown resin w/ high noble me,R
D2721,,Crown resin w/ base metal,R
D2722,,Crown resin w/ noble metal,R
D2740,,Crown porcelain/ceramic,R
D2750,,Crown porcelain w/ h noble m,R
D2751,,Crown porcelain fused base m,R
D2752,,Crown porcelain w/ noble met,R
D2753,,Crown porc fused to titanium,R
D2780,,Crown 3/4 cast hi noble met,R
D2781,,Crown 3/4 cast base metal,R
D2782,,Crown 3/4 cast noble metal,R
D2783,,Crown 3/4 porcelain/ceramic,R
D2790,,Crown full cast high noble m,R
D2791,,Crown full cast base metal,R
D2792,,Crown full cast noble metal,R
D2794,,Crown-titanium,R
D2799,,Interim crown,R
D2910,,Recement inlay onlay or part,R
D2915,,Recement cast or prefab post,R
D2920,,Re-cement or re-bond crown,R
D2921,,Reattach tooth fragment,R
D2928,,Prefab porc/cer crown perm,R
D2929,,Prefab porc/ceram crown pri,R
D2930,,Prefab stnlss steel crwn pri,R
D2931,,Prefab stnlss steel crown pe,R
D2932,,Prefabricated resin crown,R
D2933,,Prefab stainless steel crown,R
D2934,,Prefab steel crown primary,R
D2940,,Protective restoration,R
D2941,,Int therapeutic restoration,R
D2949,,Restorative foundation,R
D2950,,Core build-up incl any pins,R
D2951,,Tooth pin retention,R
D2952,,Post and core cast + crown,R
D2953,,Each addtnl cast post,R
D2954,,Prefab post/core + crown,R
D2955,,Post removal,R
D2957,,Each addtnl prefab post,R
D2960,,Labial veneer resin direct,R
D2961,,Labial veneer resin indirect,R
D2962,,Labial veneer porc indirect,R
D2971,,Add proc construct new crown,R
D2975,,Coping,R
D2976,,Band stabilization per tooth,R
D2980,,Crown repair,R
D2981,,Inlay repair,R
D2982,,Onlay repair,R
D2983,,Veneer repair,R
D2989,,Excavate tooth non-restorabl,R
D2990,,Resin infiltration of lesion,R
D2991,,App of hydroxyapatite,R
D2999,,Dental unspec restorative pr,R
D3110,,Pulp cap direct,R
D3120,,Pulp cap indirect,R
D3220,,Therapeutic pulpotomy,R
D3221,,Gross pulpal debridement,R
D3222,,Part pulp for apexogenesis,R
D3230,,Pulpal therapy anterior prim,R
D3240,,Pulpal therapy posterior pri,R
D3310,,"End thxpy, anterior tooth",R
D3320,,"End thxpy, premolar tooth",R
D3330,,"End thxpy, molar tooth",R
D3331,,Non-surg tx root canal obs,R
D3332,,Incomplete endodontic tx,R
D3333,,Internal root repair,R
D3346,,Retreat root canal anterior,R
D3347,,Retreat root canal premolar,R
D3348,,Retreat root canal molar,R
D3351,,Apexification/recalc initial,R
D3352,,Apexification/recalc interim,R
D3353,,Apexification/recalc final,R
D3355,,Pulpal regeneration initial,R
D3356,,Pulpal regeneration interim,R
D3357,,Pulpal regeneration complete,R
D3410,,Apicoectomy - anterior,R
D3421,,Root surgery premolar,R
D3425,,Root surgery molar,R
D3426,,Root surgery ea add root,R
D3428,,Bone graft peri per tooth,R
D3429,,Bone graft peri each addl,R
D3430,,Retrograde filling,R
D3431,,Biological materials,R
D3432,,Guided tissue regeneration,R
D3450,,Root amputation,R
D3460,,Endodontic endosseous implan,R
D3470,,Intentional replantation,R
D3471,,Surg rep root res anterior,R
D3472,,Surg rep root res premolar,R
D3473,,Surg rep root res molar,R
D3501,,Surg exp root surf anterior,R
D3502,,Surg exp root surf premolar,R
D3503,,Surg exp root surf molar,R
D3910,,Isolation- tooth w rubb dam,R
D3911,,Intraorifice barrier,R
D3920,,Tooth splitting,R
D3921,,Decor or submerg erupt tooth,R
D3950,,Canal prep/fitting of dowel,R
D3999,,Endodontic procedure,R
D4210,,Gingivectomy/plasty 4 or mor,R
D4211,,Gingivectomy/plasty 1 to 3,R
D4212,,Gingivectomy/plasty rest,R
D4230,,Ana crown exp 4 or> per quad,R
D4231,,Ana crown exp 1-3 per quad,R
D4240,,Gingival flap proc w/ planin,R
D4241,,Gngvl flap w rootplan 1-3 th,R
D4245,,Apically positioned flap,R
D4249,,Crown lengthen hard tissue,R
D4260,,Osseous surgery 4 or more,R
D4261,,Osseous surg 1 to 3 teeth,R
D4263,,Bone replce graft first site,R
D4264,,Bone replce graft each add,R
D4265,,Bio mtrls to aid soft/os reg,R
D4266,,Guided tiss regen resorble,R
D4267,,Guided tiss regen nonresorb,R
D4268,,Surgical revision procedure,R
D4270,,Pedicle soft tissue graft pr,R
D4273,,Auto tissue graft 1st tooth,R
D4274,,Mesial/distal wedge proc,R
D4275,,Non-auto graft 1st tooth,R
D4276,,Con tissue w pedicle graft,R
D4277,,Soft tissue graft firsttooth,R
D4278,,Soft tissue graft addl tooth,R
D4283,,Auto tissue graft addl tooth,R
D4285,,Non-auto graft addl tooth,R
D4286,,Remove non-resorb barrier,R
D4322,,Splint intra-coronal,R
D4323,,Splint extra-coronal,R
D4341,,Periodontal scaling & root,R
D4342,,Periodontal scaling 1-3teeth,R
D4346,,Scaling gingiv inflammation,R
D4355,,Full mouth debridement,R
D4381,,Localized delivery antimicro,R
D4910,,Periodontal maint procedures,R
D4920,,Unscheduled dressing change,R
D4921,,Gingival irrigation per quad,R
D4999,,Unspecified periodontal proc,R
